Country;Latitude;Longitude;Eastings_X;Northings_Y;Region;Site;Architecture;Architecture_note;LabNumber;C14;STD;Delta13C;Delta15N;MarineResources;AquaticResources;DeltaR;DeltaRErr;Food.source;Material;Context;Context_summary;Source;MainBibliography;Bibliography;Observations;Excluded;Reason_for_exclusion
Spain;36,9967;-3,8881;955023;4106739;South;Dolmen de la Navilla (Pantano de los Bermejales);Gallery sepulchre;n/a;Ua-39500;3246;30;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;Burial chamber;Funerary area;Camara, Molina, 2015;n/a;n/a;n/a;No;n/a
Spain;36,6992;-4,8497;870820;4069538;South;Tesorillo de la Llana;Passage grave;Passage grave with atypical corridor;GrN-26488;3250;40;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;Burial chamber;Funerary area;"Garciaa Sanjuan 2009, 19; Fernandez, Marquez 2001";n/a;Garcia Sanjuan 2009, 19;n/a;No;n/a
Spain;36,6992;-4,8497;870820;4069538;South;Tesorillo de la Llana;Passage grave;Passage grave with atypical corridor;GrN-26475;3250;50;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;Burial chamber;Funerary area;Garcia Sanjuan et al 2011, Tab 4;n/a;Garcia Sanjuan et al 2011;n/a;No;n/a
Spain;36,9967;-3,8881;955023;4106739;South;Dolmen de la Navilla (Pantano de los Bermejales);Gallery sepulchre;n/a;Ua-39502;3269;31;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;Burial chamber;Funerary area;Camara, Molina, 2015;n/a;n/a;n/a;No;n/a
Spain;42,94210021;-7,971405534;583918;4754898;North;Ponte da Pedra_new;Varia;n/a;GrN-19215;2565;45;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Charcoal;Surface of the mound;Mound;Fabregas, Vilaseco, 2006;n/a;Fabregas, Vilaseco 2006;n/a;Yes;Outlier
Portugal;37,1991;-8,588;536562;4117039;South;Alcalar 7;Tholos;n/a;Beta-180982;3280;40;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Charcoal;n/a;n/a;Valera et al 2019, 62;Valera et al 2019, 62;Valera et al 2019, Rocha 2020;n/a;No;n/a
Spain;36,9967;-3,8881;955023;4106739;South;Dolmen de la Navilla (Pantano de los Bermejales);Gallery sepulchre;n/a;Ua-39496;3286;30;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;Burial chamber;Funerary area;Camara, Molina, 2015;n/a;n/a;n/a;No;n/a
Spain;39,967973;3,88045;1601565;4504480;East;Cova de Sant Joan de Missa;Rock-cut-tomb, artificial cave & hypogeum;n/a;IRPA-1135;2580;40;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Charcoal;Chamber;Chamber;Mico Perez  2005;n/a;Mico Perez  2005;n/a;No;n/a
Spain;42,98467;-2,21247;1053468;4781518;North;Urrezulko Armurea;Dolmen;n/a;GrN-24856;2580;140;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Charcoal;n/a;n/a;Mujika Alustiza 2017, 95;n/a;Mujika Alustiza 2017, 95;n/a;Yes;Bronze age site
Spain;36,9967;-3,8881;955023;4106739;South;Dolmen de la Navilla (Pantano de los Bermejales);Gallery sepulchre;n/a;Beta-301936;3300;30;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;Burial chamber;Funerary area;Aranda Jimenez, 2014;n/a;n/a;n/a;No;n/a
Spain;36,84287254;-2,206617462;1106090;4099045;South;El Barranquete 9;Tholos;n/a;CNA-3248;3335;36;-19;11,2;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Human bone;Chamber. Layer 2;Chamber;Aranda Jimenez et al 2018;n/a;Aranda Jimenez et al 2018;n/a;No;n/a
Spain;39,865038;4,14709;1626154;4496400;East;Calescoves;Rock-cut-tomb, artificial cave & hypogeum;n/a;KIA-12682;2595;30;-19,88;10,83;n/a;n/a;n/a;n/a;Meat and vegetables. Low indices of marine resources;Human bone;Under layer chamber;Mound soil;Mico Perez  2005/Van Strydonck et al 2005;n/a;Mico Perez  2005/Van Strydonck et al 2005;n/a;No;n/a
Spain;37,8335551;-4,408204015;904164;4197293;South;Alcaide 15;Rock-cut-tomb, artificial cave & hypogeum;n/a;GrN-16064;3340;90;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;n/a;n/a;Baldomero 2011;Baldomero 2011;Lozano Medina 2017;Geographic coordinates approximated;No;n/a
Spain;42,9846702;-2,2124668;1053469;4781518;North;Urrezulko Armurea;Dolmen;n/a;I-19023;2640;240;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Charcoal;n/a;n/a;Mujika Alustiza 2017, 95;n/a;Mujika Alustiza 2017, 95;n/a;Yes;Outlier
Portugal;38,509824;-8,00698;586578;4262850;South;Barrocal de Freiras 3;Passage grave;n/a;Wk-17086;3355;35;-19,7;n/a;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber;Chamber;Boaventura 2009;n/a;Boaventura 2009;n/a;No;n/a
Spain;36,84287254;-2,206617462;1106090;4099045;South;El Barranquete 9;Tholos;n/a;CNA-3247;3426;35;-18,9;11,1;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Human bone;Chamber. Layer 2;Chamber;Aranda Jimenez et al 2018;n/a;Aranda Jimenez et al 2018;n/a;No;n/a
